name@version *,license *,copyrights *,end-of-support,dependencies,language,repository,email,URL
activation-1.0.2.jar,CDDL-1.0,-,-,-,Java,-,-,-
axis-1.4.csi-1.0.0.jar,Libreria personalizzata CSI basata su Apache-2.0,-,-,-,Java,-,-,-
axis-ant-1.4.jar,Apache-2.0,-,-,-,Java,-,-,-
axis-jaxrpc-1.4.jar,Apache-2.0,-,-,-,Java,-,-,-
bsh-1.2b7.jar,LGPL-2.1,-,-,-,Java,-,-,-
commons-codec-1.3.jar,Apache-2.0,-,-,-,Java,-,-,-
commons-discovery-0.2.jar,Apache-1.1,-,-,-,Java,-,-,-
commons-httpclient-3.1.jar,Apache-2.0,-,-,-,Java,-,-,-
commons-logging-1.0.4.jar,Apache-2.0,-,-,-,Java,-,-,-
coop-diag-1.2.1.jar,Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta),CSI-Piemonte,-,-,Java,-,-,-
coop-trace-1.2.0.jar,Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta),CSI-Piemonte,-,-,Java,-,-,-
csi-apachesoap-1.4.5.jar,Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta),CSI-Piemonte,-,-,Java,-,-,-
csi-core-1.4.5.jar,Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta),CSI-Piemonte,-,-,Java,-,-,-
csi-ejb-1.4.5.jar,Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta),CSI-Piemonte,-,-,Java,-,-,-
csi-ejb-weblogic-1.4.5.jar,Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta),CSI-Piemonte,-,-,Java,-,-,-
csi-rmi-1.4.5.jar,Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta),CSI-Piemonte,-,-,Java,-,-,-
csi-stadapter-1.4.5.jar,Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta),CSI-Piemonte,-,-,Java,-,-,-
csi-tools-1.4.5.jar,Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta),CSI-Piemonte,-,-,Java,-,-,http://opensource.org/licenses/BSD-3-Clause
ctserv-client-2.3.1.jar,Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta),-,-,-,Java,-,-,-
cxf-2.4.6.jar,Apache-2.0,-,-,-,Java,-,-,-
dom-1.0.jar,Apache-2.0,-,-,-,Java,-,-,-
dosign-client-2.0.0.jar,Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta),-,-,-,Java,-,-,-
dosign-common-2.0.0.jar,Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta),-,-,-,Java,-,-,-
ecmengine-common-6.2.0.jar,Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta),-,-,-,Java,-,-,-
ecmengine-engine-client-6.2.0.jar,Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta),-,-,-,Java,-,-,-
ejb-2.1.jar,Libreria Java di Base,-,-,-,Java,-,-,-
geronimo-annotation_1.0_spec-1.1.1.jar,Apache-2.0,-,-,-,Java,-,-,-
geronimo-jaxws_2.1_spec-1.0-sources.jar,Apache-2.0,-,-,-,Java,-,-,-
geronimo-jaxws_2.1_spec-1.0.jar,Apache-2.0,-,-,-,Java,-,-,-
geronimo-ws-metadata_2.0_spec-1.1.2.jar,Apache-2.0,-,-,-,Java,-,-,-
htmpl-1.3.2.jar,Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta),CSI-Piemonte,-,-,Java,-,-,-
iridev2-pep-intf-2.0.0.jar,Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta),CSI-Piemonte,-,-,Java,-,-,-
jaas-1.0.jar,Libreria Java di Base,-,-,-,Java,-,-,https://glassfish.dev.java.net/public/CDDL+GPL_1_1.html
jakarta-oro-2.0.8.jar,Apache-2.0,-,-,-,Java,-,-,http://svn.apache.org/repos/asf/tiles/framework/tags/tiles-parent-3.0.5/OGNL-LICENSE.txt
jax-qname-1.0.jar,CDDL-1.1,-,-,-,Java,-,-,-
jaxb-api-2.1.13.jar,CDDL-1.0,-,-,-,Java,-,-,-
jaxb-impl-2.1.13.jar,CDDL-1.0; GPL-2.0 w/ CPE,-,-,-,Java,-,-,https://glassfish.dev.java.net/public/CDDL+GPL.html
jaxp-1.2.2.jar,Libreria Java di Base,-,-,-,Java,-,-,-
jboss-j2ee-4.3.0.jar,EPL,-,-,-,Java,-,-,-
jbossall-client-4.3.0.jar,LGPL-2.1,RedHat Inc.,-,-,Java,-,-,http://www.java2s.com/Code/Jar/j/Downloadjbossallclient430jar.htm
jms-1.0.2b.jar,Libreria Java di Base,-,-,-,Java,-,-,-
jndi-1.2.1.jar,Libreria Java di Base,-,-,-,Java,-,-,-
junit-3.8.1.jar,CPL-1.0,-,-,-,Java,-,-,-
log4j-1.2.15.jar,Apache-2.0,-,-,-,Java,-,-,-
mail-1.2.jar,Libreria Java di Base,-,-,-,Java,-,-,-
mdpcoreinterfaces-4.0.0.jar,Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta),-,-,-,Java,-,-,-
